,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight
0,M,0.455,0.365,0.095,0.514,0.2245,0.10099999999999999,0.15
1,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07
2,F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21
3,M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155
4,I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055
5,I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12
6,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33
7,F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26
8,M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165
9,F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32
10,F,0.525,0.38,0.14,0.6065,0.19399999999999998,0.1475,0.21
11,M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135
12,M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19
13,F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205
14,F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185
15,M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24
16,I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115
17,F,0.44,0.34,0.1,0.451,0.188,0.087,0.13
18,M,0.365,0.295,0.08,0.2555,0.09699999999999999,0.043,0.1
19,M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115
20,M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075
21,I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085
22,F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27
23,F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2
24,F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305
25,F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3
26,F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285
27,M,0.59,0.445,0.14,0.9309999999999999,0.35600000000000004,0.23399999999999999,0.28
28,M,0.605,0.475,0.18,0.9365,0.39399999999999996,0.21899999999999997,0.295
29,M,0.575,0.425,0.14,0.8635,0.39299999999999996,0.22699999999999998,0.2
30,M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33
31,F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46
32,M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35
33,F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455
34,F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49
35,M,0.465,0.355,0.105,0.4795,0.22699999999999998,0.124,0.125
36,F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34
37,F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145
38,F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26
39,M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09
40,F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115
41,F,0.55,0.425,0.135,0.8515,0.36200000000000004,0.196,0.27
42,I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02
43,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012
44,I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015
45,I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075
46,M,0.47,0.37,0.12,0.5795,0.293,0.22699999999999998,0.14
47,F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15
48,I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045
49,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245
50,I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19
51,M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1
52,M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16
53,F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
54,M,0.405,0.31,0.1,0.385,0.17300000000000001,0.0915,0.11
55,F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
56,M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135
57,M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17
58,I,0.245,0.19,0.06,0.086,0.042,0.013999999999999999,0.025
59,F,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175
60,M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135
61,M,0.505,0.405,0.11,0.625,0.305,0.16,0.175
62,F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2
63,M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1
64,M,0.52,0.4,0.12,0.58,0.23399999999999999,0.1315,0.185
65,M,0.475,0.355,0.12,0.48,0.23399999999999999,0.1015,0.135
66,F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32
67,F,0.595,0.495,0.185,1.285,0.41600000000000004,0.22399999999999998,0.485
68,F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17
69,I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045
70,M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275
71,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1
72,F,0.595,0.475,0.17,1.247,0.48,0.225,0.425
73,M,0.57,0.48,0.175,1.185,0.474,0.261,0.38
74,F,0.605,0.45,0.195,1.0979999999999999,0.48100000000000004,0.2895,0.315
75,F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28
76,M,0.595,0.475,0.14,0.9440000000000001,0.3625,0.18899999999999997,0.315
77,F,0.6,0.47,0.15,0.922,0.363,0.19399999999999998,0.305
78,F,0.555,0.425,0.14,0.7879999999999999,0.282,0.1595,0.285
79,F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345
80,F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285
81,M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675
82,F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32
83,M,0.595,0.475,0.16,1.3175,0.408,0.23399999999999999,0.58
84,M,0.58,0.45,0.14,1.013,0.38,0.21600000000000003,0.36
85,F,0.57,0.465,0.18,1.295,0.33899999999999997,0.2225,0.44
86,M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4
87,M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
88,F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165
89,F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33
90,M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255
91,M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26
92,M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39
93,F,0.625,0.495,0.165,1.262,0.507,0.318,0.39
94,M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485
95,M,0.665,0.535,0.195,1.6059999999999999,0.5755,0.38799999999999996,0.48
96,M,0.535,0.435,0.15,0.725,0.26899999999999996,0.1385,0.25
97,M,0.47,0.375,0.13,0.523,0.214,0.132,0.145
98,M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165
99,F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155
100,I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075
101,M,0.55,0.435,0.145,0.843,0.32799999999999996,0.1915,0.255
102,M,0.53,0.435,0.16,0.883,0.316,0.16399999999999998,0.335
103,M,0.53,0.415,0.14,0.7240000000000001,0.3105,0.1675,0.205
104,M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345
105,F,0.52,0.41,0.155,0.727,0.29100000000000004,0.1835,0.235
106,F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28
107,F,0.5,0.4,0.125,0.6675,0.261,,0.22
108,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2
109,F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13
110,M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155
111,M,0.465,0.36,0.105,0.431,0.172,0.107,0.175
112,I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105
113,M,0.425,0.35,0.105,0.39299999999999996,0.13,0.063,0.165
114,F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21
115,F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18
116,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22
117,M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165
118,F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31
119,M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085
120,F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14
121,I,0.385,0.295,0.085,0.2535,0.10300000000000001,0.0575,0.085
122,F,0.515,0.425,0.14,0.7659999999999999,0.304,0.1725,0.255
123,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07
124,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07
125,I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03
126,I,0.375,0.275,,0.23800000000000002,0.1075,0.0545,0.07
127,I,0.385,0.29,0.085,0.2505,0.11199999999999999,0.061,0.08
128,M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54
129,M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78
130,M,0.595,0.48,0.165,1.262,0.4835,0.28300000000000003,0.41
131,F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129
132,F,0.325,0.26,0.09,0.1915,0.085,0.036000000000000004,0.062
133,I,0.35,0.26,0.095,0.21100000000000002,0.086,0.055999999999999994,0.068
134,I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.027999999999999997
135,F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355
136,F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048
137,M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063
138,F,0.405,0.325,0.11,0.3555,0.151,0.063,0.11699999999999999
139,M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925
140,F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475
141,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665
142,M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465
143,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425
144,M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17
145,F,0.49,0.38,,0.5489999999999999,0.245,0.1075,0.174
146,M,0.46,0.35,0.12,0.515,0.22399999999999998,0.10800000000000001,0.1565
147,I,0.28,0.205,0.08,0.127,0.052000000000000005,0.039,0.042
148,I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125
149,I,0.17,0.13,0.095,0.03,0.013000000000000001,0.008,0.01
150,M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325
151,F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335
152,F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45
153,F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355
154,F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31
155,M,0.515,0.405,0.13,0.722,0.32,0.131,0.21
156,F,0.575,0.46,0.19,0.9940000000000001,0.392,0.2425,0.34
157,M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635
158,F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285
159,,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44
160,M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34
161,F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28
162,M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345
163,F,0.725,0.56,0.21,2.141,0.65,0.39799999999999996,1.005
164,F,0.65,0.545,0.23,1.7519999999999998,0.5605,0.2895,0.815
165,M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725
166,F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85
167,F,0.68,0.57,0.205,1.8419999999999999,0.625,0.408,0.65
168,M,0.705,0.56,0.22,1.9809999999999999,0.8175,0.3085,0.76
169,F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62
170,M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59
171,F,0.53,0.395,0.145,0.775,0.308,0.16899999999999998,0.255
172,M,0.525,0.435,0.155,1.065,0.486,0.233,0.285
173,F,0.52,0.405,0.115,0.7759999999999999,0.32,0.1845,0.22
174,I,0.235,0.16,0.04,0.048,0.0185,0.018000000000000002,0.015
175,I,0.36,0.26,0.09,0.1785,0.0645,0.037000000000000005,0.075
176,I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035
177,I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05
178,I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015
179,M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35
180,M,0.57,0.48,0.18,0.9395,0.39899999999999997,0.2,0.295
181,M,0.64,0.51,0.175,1.368,0.515,0.266,0.57
182,F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3
183,F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325
184,F,0.645,0.51,0.2,1.5675,0.621,0.36700000000000005,0.46
185,M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355
186,F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285
187,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38
188,F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315
189,F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29
190,M,0.615,,0.18,1.1595,0.4845,0.2165,0.325
191,M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36
192,M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36
193,I,0.355,0.275,0.085,0.22,0.092,0.06,0.15
194,F,0.51,0.4,0.14,0.8145,0.45899999999999996,0.1965,0.195
195,M,0.5,0.405,0.155,0.772,0.34600000000000003,0.1535,0.245
196,F,0.505,0.41,0.15,0.644,0.285,0.145,0.21
197,M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465
198,M,0.56,0.45,0.16,0.922,0.43200000000000005,0.17800000000000002,0.26
199,M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285
200,F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135
201,M,0.5,0.4,0.165,0.825,0.254,0.205,0.285
202,F,0.5,0.4,0.145,0.63,0.23399999999999999,0.1465,0.23
203,F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275
204,M,0.42,0.335,0.115,0.369,0.171,0.071,0.12
205,F,0.44,0.34,0.14,0.48200000000000004,0.18600000000000003,0.1085,0.16
206,I,0.4,0.3,0.11,0.315,0.109,0.067,0.12
207,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12
208,F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31
209,I,0.37,0.28,0.095,0.2655,0.122,0.052000000000000005,0.08
210,F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22
211,M,0.335,0.25,0.09,0.18100000000000002,0.0755,0.0415,0.06
212,F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12
213,M,0.5,0.405,0.14,0.6155,0.24100000000000002,0.1355,0.205
214,F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235
215,M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255
216,M,0.45,0.35,0.13,0.46,0.174,0.111,0.135
217,I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11
218,M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165
219,F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105
220,F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14
221,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18
222,F,0.49,0.375,0.15,0.5755,0.22,0.14400000000000002,0.19
223,F,0.445,0.355,0.15,0.485,0.18100000000000002,0.125,0.155
224,I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1
225,F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155
226,F,0.39,0.29,0.125,0.3055,0.121,0.08199999999999999,0.09
227,I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07
228,F,0.58,0.465,0.165,1.1015,0.40399999999999997,0.2095,0.35
229,F,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245
230,M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275
231,M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325
232,M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435
233,I,0.275,0.215,0.075,,0.0485,0.028999999999999998,0.035
234,I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125
235,I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04
236,I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015
237,I,0.13,0.1,0.03,0.013000000000000001,0.0045,0.003,0.004
238,I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003
239,I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005
240,M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275
241,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035
242,I,0.23,0.175,0.065,0.0645,0.026000000000000002,0.0105,0.02
243,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
244,I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06
245,I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06
246,I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05
247,I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07
248,I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045
249,I,0.345,0.27,0.11,0.2135,0.08199999999999999,0.0545,0.07
250,I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06
251,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36
252,F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3
253,F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345
254,M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34
255,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37
256,M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41
257,M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345
258,F,0.635,0.505,0.17,1.415,0.605,0.297,0.365
259,F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295
260,F,0.54,0.475,0.155,0.9279999999999999,0.39399999999999996,0.19399999999999998,0.26
261,F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27
262,M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245
263,I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026000000000000002
264,M,0.27,0.2,0.08,0.1205,,0.027999999999999997,0.04
265,F,0.46,0.38,0.13,0.639,,0.1525,0.16
266,M,0.52,0.45,0.15,0.895,0.3615,0.18600000000000003,0.235
267,M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905
268,M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255
269,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17
270,F,0.64,0.525,0.215,1.7790000000000001,0.4535,0.2855,0.55
271,M,0.59,0.5,0.2,1.187,0.41200000000000003,0.2705,0.37
272,M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385
273,M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45
274,M,0.63,0.515,0.155,1.2590000000000001,0.4105,0.19699999999999998,0.41
275,M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585
276,F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49
277,M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69
278,M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43
279,F,0.515,0.425,0.135,0.7120000000000001,0.2665,0.1605,0.25
280,F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3
281,I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075
282,F,0.455,0.355,0.12,0.4495,0.177,0.10400000000000001,0.15
283,M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225
284,M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31
285,F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285
286,M,0.53,0.435,0.155,0.6990000000000001,0.28800000000000003,0.1595,0.205
287,F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205
288,M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19
289,F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24
290,M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325
291,F,0.565,0.505,0.21,1.2765,0.501,0.27899999999999997,0.355
292,M,0.61,0.475,0.165,1.1159999999999999,0.428,0.2205,0.315
293,F,0.565,0.455,0.175,1.013,0.342,0.207,0.35
294,M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375
295,I,0.295,0.215,0.085,0.128,0.049,0.034,0.04
296,I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035
